"Step","w1-baseline-fast - completion_len/mean","w1-baseline-fast - completion_len/mean__MIN","w1-baseline-fast - completion_len/mean__MAX","w1-alpha64-baseline - completion_len/mean","w1-alpha64-baseline - completion_len/mean__MIN","w1-alpha64-baseline - completion_len/mean__MAX","w1-alpha32-baseline - completion_len/mean","w1-alpha32-baseline - completion_len/mean__MIN","w1-alpha32-baseline - completion_len/mean__MAX","w1-alpha128-baseline - completion_len/mean","w1-alpha128-baseline - completion_len/mean__MIN","w1-alpha128-baseline - completion_len/mean__MAX","w1-alpha64-lr1e-5 - completion_len/mean","w1-alpha64-lr1e-5 - completion_len/mean__MIN","w1-alpha64-lr1e-5 - completion_len/mean__MAX","w1-alpha64-lr3e-6 - completion_len/mean","w1-alpha64-lr3e-6 - completion_len/mean__MIN","w1-alpha64-lr3e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MAX","w1-alpha64-lr5e-6 - completion_len/mean","w1-alpha64-lr5e-6 - completion_len/mean__MIN","w1-alpha64-lr5e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MAX"
"21","469.890625","469.890625","469.890625","382.5234375","382.5234375","382.5234375","450.4375","450.4375","450.4375","385.828125","385.828125","385.828125","178.4453125","178.4453125","178.4453125","362.7578125","362.7578125","362.7578125","331.71875","331.71875","331.71875","319.8671875","319.8671875","319.8671875","795.578125","795.578125","795.578125","444.5546875","444.5546875","444.5546875","897.6640625","897.6640625","897.6640625","894.1008064516129","894.1008064516129","894.1008064516129"
"22","482.3125","482.3125","482.3125","404.4453125","404.4453125","404.4453125","462.1640625","462.1640625","462.1640625","395.7578125","395.7578125","395.7578125","196.8125","196.8125","196.8125","305.40625","305.40625","305.40625","360.90625","360.90625","360.90625","322.6953125","322.6953125","322.6953125","795.3984375","795.3984375","795.3984375","374.0","374.0","374.0","827.3359375","827.3359375","827.3359375","871.375","871.375","871.375"
"23","476.875","476.875","476.875","376.09375","376.09375","376.09375","438.53125","438.53125","438.53125","322.703125","322.703125","322.703125","197.3203125","197.3203125","197.3203125","309.515625","309.515625","309.515625","364.921875","364.921875","364.921875","317.984375","317.984375","317.984375","885.3671875","885.3671875","885.3671875","447.2421875","447.2421875","447.2421875","759.671875","759.671875","759.671875","877.0234375","877.0234375","877.0234375"
"24","473.453125","473.453125","473.453125","358.421875","358.421875","358.421875","427.6640625","427.6640625","427.6640625","354.515625","354.515625","354.515625","213.08333333333334","213.08333333333334","213.08333333333334","316.1015625","316.1015625","316.1015625","301.984375","301.984375","301.984375","290.3125","290.3125","290.3125","788.3828125","788.3828125","788.3828125","446.828125","446.828125","446.828125","781.140625","781.140625","781.140625","839.6484375","839.6484375","839.6484375"
"25","486.5390625","486.5390625","486.5390625","377.1953125","377.1953125","377.1953125","421.2890625","421.2890625","421.2890625","330.8828125","330.8828125","330.8828125","214.4765625","214.4765625","214.4765625","287.09375","287.09375","287.09375","311.171875","311.171875","311.171875","279.59375","279.59375","279.59375","779.484375","779.484375","779.484375","416.1484375","416.1484375","416.1484375","850.09375","850.09375","850.09375","824.5078125","824.5078125","824.5078125"
"26","481.7265625","481.7265625","481.7265625","382.453125","382.453125","382.453125","425.4140625","425.4140625","425.4140625","336.421875","336.421875","336.421875","200.5703125","200.5703125","200.5703125","296.390625","296.390625","296.390625","332.09375","332.09375","332.09375","293.8984375","293.8984375","293.8984375","811.6171875","811.6171875","811.6171875","366.1484375","366.1484375","366.1484375","918.0703125","918.0703125","918.0703125","874.8671875","874.8671875","874.8671875"
"27","480.234375","480.234375","480.234375","379.2421875","379.2421875","379.2421875","413.859375","413.859375","413.859375","336.453125","336.453125","336.453125","183.90625","183.90625","183.90625","291.8828125","291.8828125","291.8828125","369.28125","369.28125","369.28125","315.5234375","315.5234375","315.5234375","677.25","677.25","677.25","360.875","360.875","360.875","817.1328125","817.1328125","817.1328125","840.8515625","840.8515625","840.8515625"
"28","471.51666666666665","471.51666666666665","471.51666666666665","412.6640625","412.6640625","412.6640625","406.03125","406.03125","406.03125","327.2578125","327.2578125","327.2578125","166.59375","166.59375","166.59375","287.3046875","287.3046875","287.3046875","362.625","362.625","362.625","302.0390625","302.0390625","302.0390625","770.484375","770.484375","770.484375","352.328125","352.328125","352.328125","1138.5390625","1138.5390625","1138.5390625","804.1171875","804.1171875","804.1171875"
"29","466.8671875","466.8671875","466.8671875","352.56666666666666","352.56666666666666","352.56666666666666","430.3046875","430.3046875","430.3046875","347.265625","347.265625","347.265625","165.4140625","165.4140625","165.4140625","319.703125","319.703125","319.703125","296.734375","296.734375","296.734375","285.6328125","285.6328125","285.6328125","629.390625","629.390625","629.390625","341.5390625","341.5390625","341.5390625","853.4375","853.4375","853.4375","773.4140625","773.4140625","773.4140625"
"30","478.7734375","478.7734375","478.7734375","370.37083333333334","370.37083333333334","370.37083333333334","410.9765625","410.9765625","410.9765625","311.2890625","311.2890625","311.2890625","162.2890625","162.2890625","162.2890625","300.6875","300.6875","300.6875","326.34375","326.34375","326.34375","279.703125","279.703125","279.703125","772.328125","772.328125","772.328125","372.546875","372.546875","372.546875","760.5390625","760.5390625","760.5390625","772.4354838709677","772.4354838709677","772.4354838709677"
