"Step","w1-baseline-fast - metrics/format_reward","w1-baseline-fast - metrics/format_reward__MIN","w1-baseline-fast - metrics/format_reward__MAX","w1-alpha64-baseline - metrics/format_reward","w1-alpha64-baseline - metrics/format_reward__MIN","w1-alpha64-baseline - metrics/format_reward__MAX","w1-alpha32-baseline - metrics/format_reward","w1-alpha32-baseline - metrics/format_reward__MIN","w1-alpha32-baseline - metrics/format_reward__MAX","w1-alpha128-baseline - metrics/format_reward","w1-alpha128-baseline - metrics/format_reward__MIN","w1-alpha128-baseline - metrics/format_reward__MAX","w1-alpha64-lr1e-5 - metrics/format_reward","w1-alpha64-lr1e-5 - metrics/format_reward__MIN","w1-alpha64-lr1e-5 - metrics/format_reward__MAX","w1-alpha64-lr3e-6 - metrics/format_reward","w1-alpha64-lr3e-6 - metrics/format_reward__MIN","w1-alpha64-lr3e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MAX","w1-alpha64-lr5e-6 - metrics/format_reward","w1-alpha64-lr5e-6 - metrics/format_reward__MIN","w1-alpha64-lr5e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MAX"
"21","0.390625","0.390625","0.390625","0.75","0.75","0.75","0.46875","0.46875","0.46875","0.6875","0.6875","0.6875","0.984375","0.984375","0.984375","0.7578125","0.7578125","0.7578125","0.890625","0.890625","0.890625","0.8515625","0.8515625","0.8515625","0.9453125","0.9453125","0.9453125","0.890625","0.890625","0.890625","0.9609375","0.9609375","0.9609375","0.9375","0.9375","0.9375"
"22","0.265625","0.265625","0.265625","0.609375","0.609375","0.609375","0.3671875","0.3671875","0.3671875","0.65625","0.65625","0.65625","0.9765625","0.9765625","0.9765625","0.859375","0.859375","0.859375","0.734375","0.734375","0.734375","0.7578125","0.7578125","0.7578125","0.984375","0.984375","0.984375","0.9375","0.9375","0.9375","0.9765625","0.9765625","0.9765625","0.9375","0.9375","0.9375"
"23","0.3203125","0.3203125","0.3203125","0.75","0.75","0.75","0.484375","0.484375","0.484375","0.8671875","0.8671875","0.8671875","0.984375","0.984375","0.984375","0.859375","0.859375","0.859375","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.9609375","0.9609375","0.9609375","0.8828125","0.8828125","0.8828125","0.9921875","0.9921875","0.9921875","0.96875","0.96875","0.96875"
"24","0.4375","0.4375","0.4375","0.78125","0.78125","0.78125","0.5546875","0.5546875","0.5546875","0.765625","0.765625","0.765625","0.9375","0.9375","0.9375","0.828125","0.828125","0.828125","0.96875","0.96875","0.96875","0.9375","0.9375","0.9375","0.953125","0.953125","0.953125","0.9375","0.9375","0.9375","1.0","1.0","1.0","0.984375","0.984375","0.984375"
"25","0.28125","0.28125","0.28125","0.7265625","0.7265625","0.7265625","0.625","0.625","0.625","0.890625","0.890625","0.890625","0.921875","0.921875","0.921875","0.90625","0.90625","0.90625","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375","0.9375","0.9375","0.9375","0.9609375","0.9609375","0.9609375","0.9765625","0.9765625","0.9765625"
"26","0.3046875","0.3046875","0.3046875","0.5546875","0.5546875","0.5546875","0.578125","0.578125","0.578125","0.875","0.875","0.875","0.9453125","0.9453125","0.9453125","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.921875","0.921875","0.921875","0.9453125","0.9453125","0.9453125","0.9765625","0.9765625","0.9765625","0.953125","0.953125","0.953125","0.9609375","0.9609375","0.9609375"
"27","0.265625","0.265625","0.265625","0.7578125","0.7578125","0.7578125","0.5625","0.5625","0.5625","0.8984375","0.8984375","0.8984375","0.9765625","0.9765625","0.9765625","0.921875","0.921875","0.921875","0.734375","0.734375","0.734375","0.8671875","0.8671875","0.8671875","0.984375","0.984375","0.984375","1.0","1.0","1.0","1.0","1.0","1.0","0.96875","0.96875","0.96875"
"28","0.34375","0.34375","0.34375","0.6328125","0.6328125","0.6328125","0.65625","0.65625","0.65625","0.921875","0.921875","0.921875","0.9921875","0.9921875","0.9921875","0.875","0.875","0.875","0.765625","0.765625","0.765625","0.9453125","0.9453125","0.9453125","0.984375","0.984375","0.984375","0.984375","0.984375","0.984375","0.7734375","0.7734375","0.7734375","1.0","1.0","1.0"
"29","0.484375","0.484375","0.484375","0.71875","0.71875","0.71875","0.546875","0.546875","0.546875","0.8203125","0.8203125","0.8203125","0.9921875","0.9921875","0.9921875","0.890625","0.890625","0.890625","0.953125","0.953125","0.953125","0.921875","0.921875","0.921875","0.9921875","0.9921875","0.9921875","0.984375","0.984375","0.984375","0.9609375","0.9609375","0.9609375","0.984375","0.984375","0.984375"
"30","0.28125","0.28125","0.28125","0.7421875","0.7421875","0.7421875","0.578125","0.578125","0.578125","0.8984375","0.8984375","0.8984375","0.984375","0.984375","0.984375","0.8984375","0.8984375","0.8984375","0.84375","0.84375","0.84375","0.90625","0.90625","0.90625","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","1.0","1.0","1.0","0.984375","0.984375","0.984375"
