"Step","w1-baseline-fast - completion_len/max","w1-baseline-fast - completion_len/max__MIN","w1-baseline-fast - completion_len/max__MAX","w1-alpha64-baseline - completion_len/max","w1-alpha64-baseline - completion_len/max__MIN","w1-alpha64-baseline - completion_len/max__MAX","w1-alpha32-baseline - completion_len/max","w1-alpha32-baseline - completion_len/max__MIN","w1-alpha32-baseline - completion_len/max__MAX","w1-alpha128-baseline - completion_len/max","w1-alpha128-baseline - completion_len/max__MIN","w1-alpha128-baseline - completion_len/max__MAX","w1-alpha64-lr1e-5 - completion_len/max","w1-alpha64-lr1e-5 - completion_len/max__MIN","w1-alpha64-lr1e-5 - completion_len/max__MAX","w1-alpha64-lr3e-6 - completion_len/max","w1-alpha64-lr3e-6 - completion_len/max__MIN","w1-alpha64-lr3e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/max","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MAX","w1-alpha64-lr5e-6 - completion_len/max","w1-alpha64-lr5e-6 - completion_len/max__MIN","w1-alpha64-lr5e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MAX"
"24","512.0","512.0","512.0","512.0","512.0","512.0","502.0","502.0","502.0","512.0","512.0","512.0","381.0","381.0","381.0","500.25","500.25","500.25","350.0625","350.0625","350.0625","404.125","404.125","404.125","1769.75","1769.75","1769.75","830.125","830.125","830.125","1190.75","1190.75","1190.75","1543.0","1543.0","1543.0"
"25","512.0","512.0","512.0","484.375","484.375","484.375","512.0","512.0","512.0","469.5","469.5","469.5","386.5","386.5","386.5","436.625","436.625","436.625","360.625","360.625","360.625","337.5","337.5","337.5","1471.625","1471.625","1471.625","825.75","825.75","825.75","1810.375","1810.375","1810.375","1470.0","1470.0","1470.0"
"26","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","489.875","489.875","489.875","324.375","324.375","324.375","405.75","405.75","405.75","398.6875","398.6875","398.6875","448.5","448.5","448.5","1793.375","1793.375","1793.375","534.25","534.25","534.25","1560.0","1560.0","1560.0","1622.25","1622.25","1622.25"
"27","512.0","512.0","512.0","452.0","452.0","452.0","512.0","512.0","512.0","450.125","450.125","450.125","317.875","317.875","317.875","400.25","400.25","400.25","490.9375","490.9375","490.9375","447.125","447.125","447.125","906.625","906.625","906.625","533.125","533.125","533.125","1217.5","1217.5","1217.5","1584.5","1584.5","1584.5"
"28","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","512.0","490.625","490.625","490.625","200.375","200.375","200.375","477.0","477.0","477.0","445.0625","445.0625","445.0625","383.875","383.875","383.875","1160.0","1160.0","1160.0","614.625","614.625","614.625","2048.0","2048.0","2048.0","1376.75","1376.75","1376.75"
"29","508.375","508.375","508.375","481.125","481.125","481.125","512.0","512.0","512.0","464.25","464.25","464.25","242.75","242.75","242.75","434.0","434.0","434.0","319.625","319.625","319.625","499.125","499.125","499.125","877.0","877.0","877.0","546.125","546.125","546.125","1582.375","1582.375","1582.375","1965.0","1965.0","1965.0"
"30","512.0","512.0","512.0","473.375","473.375","473.375","473.5","473.5","473.5","504.875","504.875","504.875","205.625","205.625","205.625","397.875","397.875","397.875","462.75","462.75","462.75","405.625","405.625","405.625","1467.625","1467.625","1467.625","517.25","517.25","517.25","1421.625","1421.625","1421.625","1740.25","1740.25","1740.25"
"32","512.0","512.0","512.0","457.125","457.125","457.125","486.25","486.25","486.25","472.875","472.875","472.875","196.125","196.125","196.125","370.375","370.375","370.375","436.5625","436.5625","436.5625","347.125","347.125","347.125","1706.75","1706.75","1706.75","734.0","734.0","734.0","2029.375","2029.375","2029.375","1895.75","1895.75","1895.75"
"33","510.0","510.0","510.0","476.375","476.375","476.375","482.375","482.375","482.375","427.0","427.0","427.0","314.5","314.5","314.5","415.75","415.75","415.75","488.3125","488.3125","488.3125","413.5","413.5","413.5","1693.75","1693.75","1693.75","689.75","689.75","689.75","1122.0","1122.0","1122.0","2048.0","2048.0","2048.0"
"34","512.0","512.0","512.0","375.0","375.0","375.0","473.625","473.625","473.625","454.75","454.75","454.75","210.375","210.375","210.375","410.125","410.125","410.125","379.9375","379.9375","379.9375","498.875","498.875","498.875","1093.5","1093.5","1093.5","742.125","742.125","742.125","1488.75","1488.75","1488.75","2028.5","2028.5","2028.5"
"35","512.0","512.0","512.0","489.875","489.875","489.875","472.125","472.125","472.125","484.125","484.125","484.125","187.25","187.25","187.25","389.375","389.375","389.375","338.75","338.75","338.75","324.125","324.125","324.125","1239.0","1239.0","1239.0","641.625","641.625","641.625","2048.0","2048.0","2048.0","1539.25","1539.25","1539.25"
"36","507.75","507.75","507.75","512.0","512.0","512.0","512.0","512.0","512.0","490.25","490.25","490.25","375.25","375.25","375.25","409.75","409.75","409.75","403.6875","403.6875","403.6875","443.0","443.0","443.0","1417.375","1417.375","1417.375","595.75","595.75","595.75","2002.875","2002.875","2002.875","1841.75","1841.75","1841.75"
"37","512.0","512.0","512.0","456.375","456.375","456.375","509.625","509.625","509.625","440.75","440.75","440.75","185.6875","185.6875","185.6875","385.5","385.5","385.5","387.5625","387.5625","387.5625","420.625","420.625","420.625","1412.25","1412.25","1412.25","751.875","751.875","751.875","1135.125","1135.125","1135.125","1734.5","1734.5","1734.5"
"38","512.0","512.0","512.0","453.5","453.5","453.5","510.125","510.125","510.125","436.625","436.625","436.625","275.625","275.625","275.625","492.375","492.375","492.375","432.875","432.875","432.875","382.25","382.25","382.25","1649.75","1649.75","1649.75","554.25","554.25","554.25","1431.25","1431.25","1431.25","1886.0","1886.0","1886.0"
"39","492.875","492.875","492.875","479.0","479.0","479.0","512.0","512.0","512.0","433.75","433.75","433.75","214.25","214.25","214.25","425.75","425.75","425.75","293.3125","293.3125","293.3125","348.25","348.25","348.25","2048.0","2048.0","2048.0","724.375","724.375","724.375","1162.5","1162.5","1162.5","1530.25","1530.25","1530.25"
"40","512.0","512.0","512.0","499.375","499.375","499.375","506.875","506.875","506.875","363.375","363.375","363.375","316.625","316.625","316.625","411.375","411.375","411.375","355.0625","355.0625","355.0625","399.375","399.375","399.375","1635.125","1635.125","1635.125","607.25","607.25","607.25","1971.625","1971.625","1971.625","1550.5","1550.5","1550.5"
"41","512.0","512.0","512.0","469.75","469.75","469.75","512.0","512.0","512.0","487.25","487.25","487.25","199.625","199.625","199.625","411.625","411.625","411.625","441.0","441.0","441.0","345.375","345.375","345.375","1915.5","1915.5","1915.5","625.375","625.375","625.375","1370.375","1370.375","1370.375","1692.75","1692.75","1692.75"
"42","512.0","512.0","512.0","512.0","512.0","512.0","499.25","499.25","499.25","429.625","429.625","429.625","251.5","251.5","251.5","384.625","384.625","384.625","478.9375","478.9375","478.9375","336.875","336.875","336.875","1412.125","1412.125","1412.125","521.25","521.25","521.25","2048.0","2048.0","2048.0","1261.25","1261.25","1261.25"
"43","512.0","512.0","512.0","471.375","471.375","471.375","493.25","493.25","493.25","377.375","377.375","377.375","253.5","253.5","253.5","447.625","447.625","447.625","422.1875","422.1875","422.1875","388.0","388.0","388.0","1656.5","1656.5","1656.5","759.125","759.125","759.125","1851.0","1851.0","1851.0","1449.25","1449.25","1449.25"
"44","512.0","512.0","512.0","451.375","451.375","451.375","490.75","490.75","490.75","400.625","400.625","400.625","205.625","205.625","205.625","360.5","360.5","360.5","381.75","381.75","381.75","373.625","373.625","373.625","1598.0","1598.0","1598.0","759.25","759.25","759.25","1792.875","1792.875","1792.875","2048.0","2048.0","2048.0"
"45","512.0","512.0","512.0","460.75","460.75","460.75","491.125","491.125","491.125","455.75","455.75","455.75","259.125","259.125","259.125","391.625","391.625","391.625","455.9375","455.9375","455.9375","403.0","403.0","403.0","1516.375","1516.375","1516.375","912.0","912.0","912.0","1983.75","1983.75","1983.75","1530.25","1530.25","1530.25"
"46","512.0","512.0","512.0","461.375","461.375","461.375","487.25","487.25","487.25","362.0","362.0","362.0","261.75","261.75","261.75","489.125","489.125","489.125","343.125","343.125","343.125","375.75","375.75","375.75","1386.5","1386.5","1386.5","579.375","579.375","579.375","1001.5","1001.5","1001.5","1370.5","1370.5","1370.5"
"47","512.0","512.0","512.0","483.625","483.625","483.625","504.25","504.25","504.25","385.375","385.375","385.375","279.0","279.0","279.0","375.875","375.875","375.875","297.5","297.5","297.5","411.875","411.875","411.875","1762.0","1762.0","1762.0","672.625","672.625","672.625","1745.875","1745.875","1745.875","1784.5","1784.5","1784.5"
"48","512.0","512.0","512.0","493.125","493.125","493.125","425.125","425.125","425.125","438.5","438.5","438.5","235.25","235.25","235.25","368.375","368.375","368.375","322.3125","322.3125","322.3125","512.0","512.0","512.0","1526.875","1526.875","1526.875","498.625","498.625","498.625","1281.5","1281.5","1281.5","1917.0","1917.0","1917.0"
"49","512.0","512.0","512.0","451.25","451.25","451.25","478.625","478.625","478.625","437.875","437.875","437.875","195.875","195.875","195.875","346.375","346.375","346.375","485.8125","485.8125","485.8125","374.125","374.125","374.125","1692.75","1692.75","1692.75","581.375","581.375","581.375","1383.0","1383.0","1383.0","1106.5","1106.5","1106.5"
