"Step","w1-baseline-fast - completion_len/min","w1-baseline-fast - completion_len/min__MIN","w1-baseline-fast - completion_len/min__MAX","w1-alpha64-baseline - completion_len/min","w1-alpha64-baseline - completion_len/min__MIN","w1-alpha64-baseline - completion_len/min__MAX","w1-alpha32-baseline - completion_len/min","w1-alpha32-baseline - completion_len/min__MIN","w1-alpha32-baseline - completion_len/min__MAX","w1-alpha128-baseline - completion_len/min","w1-alpha128-baseline - completion_len/min__MIN","w1-alpha128-baseline - completion_len/min__MAX","w1-alpha64-lr1e-5 - completion_len/min","w1-alpha64-lr1e-5 - completion_len/min__MIN","w1-alpha64-lr1e-5 - completion_len/min__MAX","w1-alpha64-lr3e-6 - completion_len/min","w1-alpha64-lr3e-6 - completion_len/min__MIN","w1-alpha64-lr3e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/min","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MAX","w1-alpha64-lr5e-6 - completion_len/min","w1-alpha64-lr5e-6 - completion_len/min__MIN","w1-alpha64-lr5e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MAX"
"25","435.25","435.25","435.25","278.375","278.375","278.375","318.75","318.75","318.75","247.0","247.0","247.0","139.875","139.875","139.875","217.75","217.75","217.75","244.4375","244.4375","244.4375","221.625","221.625","221.625","443.625","443.625","443.625","279.875","279.875","279.875","484.0","484.0","484.0","488.25","488.25","488.25"
"26","427.125","427.125","427.125","288.25","288.25","288.25","344.875","344.875","344.875","227.125","227.125","227.125","131.375","131.375","131.375","230.625","230.625","230.625","284.25","284.25","284.25","219.375","219.375","219.375","508.625","508.625","508.625","270.75","270.75","270.75","505.75","505.75","505.75","426.5","426.5","426.5"
"27","348.625","348.625","348.625","289.75","289.75","289.75","287.625","287.625","287.625","261.25","261.25","261.25","128.375","128.375","128.375","222.875","222.875","222.875","276.0625","276.0625","276.0625","238.0","238.0","238.0","460.25","460.25","460.25","260.25","260.25","260.25","562.625","562.625","562.625","446.25","446.25","446.25"
"28","384.5","384.5","384.5","319.5","319.5","319.5","291.375","291.375","291.375","238.375","238.375","238.375","122.875","122.875","122.875","209.0","209.0","209.0","309.5625","309.5625","309.5625","220.375","220.375","220.375","416.75","416.75","416.75","259.125","259.125","259.125","438.75","438.75","438.75","395.0","395.0","395.0"
"29","396.25","396.25","396.25","289.25","289.25","289.25","343.875","343.875","343.875","244.625","244.625","244.625","131.125","131.125","131.125","203.625","203.625","203.625","275.4375","275.4375","275.4375","202.875","202.875","202.875","407.375","407.375","407.375","250.25","250.25","250.25","519.875","519.875","519.875","444.75","444.75","444.75"
"30","423.375","423.375","423.375","290.875","290.875","290.875","314.75","314.75","314.75","227.75","227.75","227.75","114.125","114.125","114.125","241.125","241.125","241.125","237.5","237.5","237.5","193.125","193.125","193.125","525.125","525.125","525.125","281.875","281.875","281.875","461.75","461.75","461.75","478.25","478.25","478.25"
"32","390.5","390.5","390.5","250.375","250.375","250.375","265.125","265.125","265.125","237.375","237.375","237.375","126.875","126.875","126.875","213.75","213.75","213.75","271.5625","271.5625","271.5625","219.25","219.25","219.25","512.75","512.75","512.75","252.5","252.5","252.5","531.625","531.625","531.625","453.25","453.25","453.25"
"33","400.75","400.75","400.75","255.75","255.75","255.75","315.375","315.375","315.375","220.75","220.75","220.75","130.375","130.375","130.375","207.75","207.75","207.75","201.1875","201.1875","201.1875","195.5","195.5","195.5","553.0","553.0","553.0","258.875","258.875","258.875","530.5","530.5","530.5","475.25","475.25","475.25"
"34","329.25","329.25","329.25","241.5","241.5","241.5","291.875","291.875","291.875","225.5","225.5","225.5","119.375","119.375","119.375","185.625","185.625","185.625","234.0","234.0","234.0","208.75","208.75","208.75","451.75","451.75","451.75","260.5","260.5","260.5","531.125","531.125","531.125","434.25","434.25","434.25"
"35","373.375","373.375","373.375","290.375","290.375","290.375","299.125","299.125","299.125","244.875","244.875","244.875","122.25","122.25","122.25","200.125","200.125","200.125","269.9375","269.9375","269.9375","196.875","196.875","196.875","476.0","476.0","476.0","257.75","257.75","257.75","465.0","465.0","465.0","427.5","427.5","427.5"
